ID,label,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE,DAYS_EMPLOYED_CLEAN,Grouped_Housing_Type
5146057,1,F,0,1,0,157500,Working,Secondary / secondary special,Separated,-19451,-278,0,0,0,Laborers,1,53,1,House / apartment
5091822,1,M,0,1,0,270000,Commercial associate,Secondary / secondary special,Single / not married,-14638,-5891,0,0,0,Laborers,1,40,16,House / apartment
5010458,1,F,0,1,0,171000,Student,Higher education,Married,-18756,-3904,0,0,1,Core staff,2,51,10.5,House / apartment
5022667,1,M,1,1,0,157500,Commercial associate,Secondary / secondary special,Single / not married,-9862,-2135,1,0,0,Laborers,1,27,6,Other
5042150,0,F,0,0,2,81000,Commercial associate,Secondary / secondary special,Married,-11277,-1160,0,0,0,Cleaning staff,4,31,3,Other
5116285,1,F,0,0,0,112500,Commercial associate,Lower secondary,Married,-19020,-231,0,0,0,Sales staff,2,52,0.5,Other
5091237,1,M,1,1,0,225000,Working,Secondary / secondary special,Single / not married,-11245,-3273,0,0,0,Laborers,1,31,9,House / apartment
5090121,1,F,0,1,2,315000,State servant,Secondary / secondary special,Separated,-12134,-192,0,0,1,Laborers,3,33,0.5,Other
5096905,1,F,0,1,0,157500,Commercial associate,Secondary / secondary special,Separated,-17040,-1222,1,0,0,Sales staff,1,47,3.5,House / apartment
5143585,1,F,0,1,1,234000,State servant,Secondary / secondary special,Civil marriage,-14824,-5831,0,0,0,Cooking staff,3,41,16,Other
5105972,1,M,1,0,0,360000,Commercial associate,Secondary / secondary special,Separated,-15203,-2068,1,0,0,Laborers,1,42,5.5,House / apartment
5117325,1,F,0,1,1,382500,State servant,Higher education,Single / not married,-12116,-553,0,0,0,Managers,2,33,1.5,Other
5115515,1,F,0,0,1,81000,Working,Secondary / secondary special,Married,-12812,-3389,1,1,0,Core staff,3,35,9.5,Other
5074667,1,F,1,1,0,157500,Commercial associate,Incomplete higher,Married,-11337,-1196,0,0,0,High skill tech staff,2,31,3.5,House / apartment
5010858,1,F,0,1,0,157500,Commercial associate,Secondary / secondary special,Married,-16562,-1043,0,0,0,Security staff,2,45,3,House / apartment
5053922,1,M,0,0,1,202500,Working,Lower secondary,Civil marriage,-14454,-1064,1,1,0,Drivers,3,40,3,House / apartment
